osmid,y,x,street_count,highway,junction,ref,railway,geometry
365208094,35.8514859,128.5093038,3,,,,,POINT (128.5093038 35.8514859)
365208095,35.8517521,128.5072639,4,,,,,POINT (128.5072639 35.8517521)
365208096,35.8520526,128.5046995,3,,,,,POINT (128.5046995 35.8520526)
365208101,35.8514544,128.4930127,3,,,,,POINT (128.4930127 35.8514544)
365208112,35.8533308,128.4735134,3,traffic_signals,,,,POINT (128.4735134 35.8533308)
365395375,35.8206118,128.4925976,4,,,,,POINT (128.4925976 35.8206118)
365395402,35.8590744,128.5074566,4,,yes,,,POINT (128.5074566 35.8590744)
365395405,35.843961,128.5074036,4,,,,,POINT (128.5074036 35.843961)
365395408,35.8355499,128.5072823,4,,,,,POINT (128.5072823 35.8355499)
365781949,35.8613681,128.5218625,3,,,,,POINT (128.5218625 35.8613681)
365781951,35.8583092,128.5211402,3,,,,,POINT (128.5211402 35.8583092)
365781952,35.8551446,128.521052,4,,,,,POINT (128.521052 35.8551446)
366663675,35.836737,128.5226086,3,,,,,POINT (128.5226086 35.836737)
366663678,35.8363597,128.5158888,4,,,,,POINT (128.5158888 35.8363597)
366663679,35.8349582,128.4919404,4,,,,,POINT (128.4919404 35.8349582)
366663680,35.8349033,128.4824693,3,,,,,POINT (128.4824693 35.8349033)
366669829,35.858827,128.521145,4,,,,,POINT (128.521145 35.858827)
368670297,35.8567967,128.5340741,3,,,,,POINT (128.5340741 35.8567967)
368907602,35.825242,128.5457702,3,,,,,POINT (128.5457702 35.825242)
369753382,35.8421831,128.5559697,3,,,,,POINT (128.5559697 35.8421831)
369753441,35.8541862,128.5579992,3,,,,,POINT (128.5579992 35.8541862)
369756492,35.8555916,128.5618632,3,,,,,POINT (128.5618632 35.8555916)
369756495,35.8566597,128.5648089,3,,,,,POINT (128.5648089 35.8566597)
369756498,35.8570017,128.5657687,3,,,,,POINT (128.5657687 35.8570017)
369918505,35.8553885,128.5073397,4,,yes,,,POINT (128.5073397 35.8553885)
369918507,35.85529,128.5126539,3,,,,,POINT (128.5126539 35.85529)
369918508,35.8553446,128.5097173,3,,,,,POINT (128.5097173 35.8553446)
369918510,35.8556281,128.4919497,3,,,,,POINT (128.4919497 35.8556281)
369918512,35.8574141,128.4998986,4,,,,,POINT (128.4998986 35.8574141)
369918513,35.8518985,128.4998009,4,,,,,POINT (128.4998009 35.8518985)
369918518,35.8524042,128.5155799,4,,,,,POINT (128.5155799 35.8524042)
369918520,35.8513885,128.5099031,3,,,,,POINT (128.5099031 35.8513885)
369918521,35.854066,128.5096977,4,,,,,POINT (128.5096977 35.854066)
369918522,35.8526817,128.5096622,3,,,,,POINT (128.5096622 35.8526817)
369918530,35.8532763,128.5214943,3,,,,,POINT (128.5214943 35.8532763)
369918532,35.8536943,128.5209947,3,,,,,POINT (128.5209947 35.8536943)
369918535,35.8570787,128.5211026,4,,,,,POINT (128.5211026 35.8570787)
369918536,35.857316,128.5074157,4,,,,,POINT (128.5074157 35.857316)
369918537,35.8540989,128.5072909,4,,,,,POINT (128.5072909 35.8540989)
369919166,35.8571521,128.5154815,4,,,,,POINT (128.5154815 35.8571521)
369922485,35.8152988,128.507131,4,,,,,POINT (128.507131 35.8152988)
369922490,35.810846,128.5157325,4,,,,,POINT (128.5157325 35.810846)
369922493,35.8247728,128.5075089,4,,,,,POINT (128.5075089 35.8247728)
370388726,35.824154,128.5543288,3,,,,,POINT (128.5543288 35.824154)
370388732,35.8183698,128.5492668,3,,,,,POINT (128.5492668 35.8183698)
370388749,35.8092548,128.5559438,3,,,,,POINT (128.5559438 35.8092548)
370388752,35.808414,128.5562512,3,,,,,POINT (128.5562512 35.808414)
388736061,35.810023,128.516697,3,,,,,POINT (128.516697 35.810023)
388736124,35.807934,128.5188426,3,,,,,POINT (128.5188426 35.807934)
388736370,35.808234,128.5428607,4,,,,,POINT (128.5428607 35.808234)
388736428,35.8083361,128.5485388,4,,,,,POINT (128.5485388 35.8083361)
388738566,35.8079902,128.5241731,3,,,,,POINT (128.5241731 35.8079902)
388738573,35.8078351,128.5223795,3,,,,,POINT (128.5223795 35.8078351)
388755590,35.8201486,128.5514122,3,,,,,POINT (128.5514122 35.8201486)
388755624,35.8252709,128.5439529,3,,,,,POINT (128.5439529 35.8252709)
388755630,35.8275463,128.5440014,4,,,,,POINT (128.5440014 35.8275463)
388755643,35.8289876,128.5441925,3,,,,,POINT (128.5441925 35.8289876)
388755652,35.8301917,128.5446176,4,,,,,POINT (128.5446176 35.8301917)
388755656,35.8319819,128.5446253,3,,,,,POINT (128.5446253 35.8319819)
414665663,35.8471287,128.5669593,4,,yes,,,POINT (128.5669593 35.8471287)
414665743,35.84362,128.5306,4,,yes,,,POINT (128.5306 35.84362)
414665746,35.8593665,128.4922238,4,,yes,,,POINT (128.4922238 35.8593665)
414665758,35.83723,128.5306786,6,,yes,,,POINT (128.5306786 35.83723)
414665761,35.84349,128.54484,4,,yes,,,POINT (128.54484 35.84349)
414665771,35.83274,128.53824,3,,,,,POINT (128.53824 35.83274)
414665788,35.8190324,128.5379717,4,,,,,POINT (128.5379717 35.8190324)
414665789,35.8141253,128.5240542,4,,yes,,,POINT (128.5240542 35.8141253)
420446780,35.85553,128.537366,3,,,,,POINT (128.537366 35.85553)
420446781,35.8567575,128.5373939,4,,,,,POINT (128.5373939 35.8567575)
420446784,35.8588308,128.528977,3,,,,,POINT (128.528977 35.8588308)
