Lon,Lat,Populations
128.5436241,35.84054126,3032.18
128.5447312,35.84053164,2636.65
128.5425169,35.84055087,1520.39
128.5447194,35.83963017,1512.59
128.5436123,35.83963979,1191.57
128.5303501,35.84155738,1077.17
128.5458383,35.84052201,1011.82
128.5413981,35.839659,947.72
128.5469455,35.84051236,920.15
128.5370165,35.84330317,875.1
128.5369578,35.83879583,858.59
128.5414098,35.84056047,851.85
128.531399,35.83704053,851.45
128.5425051,35.8396494,848.4
128.5303268,35.83975444,845.74
128.5369461,35.83789436,838.69
128.5403027,35.84057006,798.12
128.5314106,35.837942,734.16
128.5303152,35.83885297,732.48
128.5480526,35.84050271,723.37
128.536993,35.84150023,718.83
128.5303035,35.8379515,644.16
128.5402909,35.83966859,640.44
128.5370048,35.8424017,629.15
128.5314223,35.83884347,622.39
128.531434,35.83974494,614.15
128.5303385,35.84065591,566.28
128.5369696,35.8396973,564.37
128.5480408,35.83960125,531.15
128.535839,35.83790391,521.58
128.5358859,35.84150978,518.97
128.5336716,35.84152885,459
128.5358507,35.83880538,441.86
128.5381002,35.84149067,438.72
128.5302919,35.83705003,435.08
128.5325177,35.8379325,394.3
128.5347788,35.84151932,391.08
128.5358976,35.84241125,384.45
128.5436359,35.84144272,380.44
128.5314573,35.84154788,374.63
128.5392308,35.84328404,362.87
128.539172,35.8387767,351.38
128.5458265,35.83962054,346.32
128.5369813,35.84059877,330.12
128.538065,35.83878627,328.47
128.5380884,35.84058921,326.67
128.5391838,35.83967817,317.84
128.5325644,35.84153837,317.2
128.5381237,35.84329361,306.11
128.5347319,35.83791345,305.74
128.5414334,35.8423634,300.62
128.5391955,35.84057964,293.14
128.5414452,35.84326486,292.51
128.5469336,35.8396109,286.92
128.5414216,35.84146193,279.89
128.5413863,35.83875754,279.65
128.5447431,35.8414331,278.24
128.5447076,35.83872871,266.4
128.5392191,35.84238257,233.97
128.5325294,35.83883397,232.36
128.5413745,35.83785607,232.05
128.5425287,35.84145233,230.78
128.5336248,35.83792298,228.66
128.5424816,35.83784647,225.69
128.5480289,35.83869979,223.28
128.548017,35.83779832,222.76
