osmid,위도,경도,street_count,highway,junction,ref,railway,convenience_store_count,cctv_count,police_count,lighting_count
365208094,35.8514859,128.5093038,3,,,,,0,0,0,5
365208095,35.8517521,128.5072639,4,,,,,0,0,0,3
365208096,35.8520526,128.5046995,3,,,,,0,0,0,5
365208101,35.8514544,128.4930127,3,,,,,0,0,0,4
365208112,35.8533308,128.4735134,3,traffic_signals,,,,0,3,0,9
365395375,35.8206118,128.4925976,4,,,,,0,0,0,6
365395402,35.8590744,128.5074566,4,,yes,,,0,0,0,8
365395405,35.843961,128.5074036,4,,,,,0,0,0,6
365395408,35.8355499,128.5072823,4,,,,,0,0,0,4
365781949,35.8613681,128.5218625,3,,,,,0,0,0,10
365781951,35.8583092,128.5211402,3,,,,,1,0,0,8
365781952,35.8551446,128.521052,4,,,,,0,1,0,10
366663675,35.836737,128.5226086,3,,,,,0,0,0,11
366663678,35.8363597,128.5158888,4,,,,,0,0,0,4
366663679,35.8349582,128.4919404,4,,,,,0,0,0,5
366663680,35.8349033,128.4824693,3,,,,,0,0,0,2
366669829,35.858827,128.521145,4,,,,,1,0,0,10
368670297,35.8567967,128.5340741,3,,,,,0,0,0,7
368907602,35.825242,128.5457702,3,,,,,1,0,0,7
369753382,35.8421831,128.5559697,3,,,,,0,3,0,5
369753441,35.8541862,128.5579992,3,,,,,1,0,0,8
369756492,35.8555916,128.5618632,3,,,,,0,0,0,7
369756495,35.8566597,128.5648089,3,,,,,0,0,1,10
369756498,35.8570017,128.5657687,3,,,,,0,5,0,8
369918505,35.8553885,128.5073397,4,,yes,,,0,0,0,9
369918507,35.85529,128.5126539,3,,,,,0,0,0,6
369918508,35.8553446,128.5097173,3,,,,,0,0,0,10
369918510,35.8556281,128.4919497,3,,,,,0,1,0,6
369918512,35.8574141,128.4998986,4,,,,,0,1,0,7
369918513,35.8518985,128.4998009,4,,,,,1,0,0,6
369918518,35.8524042,128.5155799,4,,,,,0,0,0,11
369918520,35.8513885,128.5099031,3,,,,,0,0,0,4
369918521,35.854066,128.5096977,4,,,,,0,0,0,9
369918522,35.8526817,128.5096622,3,,,,,0,0,0,8
